Date,Rainfall,Depth_to_Groundwater,Temperature,Drainage_Volume,River_Hydrometry,year,month,day,day_of_year,week_of_year,quarter,season,month_sin,month_cos,day_sin,day_cos,day_of_year_sin,day_of_year_cos,week_of_year_sin,week_of_year_cos,quarter_sin,quarter_cos,season_sin,season_cos
2009-01-01,0.0,0.1759069130732378,0.2425068119891008,0.6720181951970032,0.2608695652173911,2009,1,1,1,1,1,1,0.49999999999999994,0.8660254037844387,0.20791169081775931,0.9781476007338057,0.017213356155834685,0.9998518392091162,0.12020794657696499,0.9927487343632071,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2009-01-02,0.0,0.1779603011635866,0.1634877384196185,0.5072914576225835,0.3043478260869565,2009,1,2,2,1,1,1,0.49999999999999994,0.8660254037844387,0.40673664307580015,0.9135454576426009,0.03442161162274574,0.9994074007397048,0.12020794657696499,0.9927487343632071,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2009-01-03,0.0,0.1806981519507187,0.220708446866485,0.624188908957121,0.2608695652173911,2009,1,3,3,1,1,1,0.49999999999999994,0.8660254037844387,0.5877852522924731,0.8090169943749475,0.051619667223253764,0.998666816288476,0.12020794657696499,0.9927487343632071,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2009-01-04,0.0,0.1820670773442847,0.1226158038147138,0.5408388520971303,0.2608695652173911,2009,1,4,4,1,1,1,0.49999999999999994,0.8660254037844387,0.7431448254773941,0.6691306063588582,0.06880242680231986,0.9976303053065857,0.12020794657696499,0.9927487343632071,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2009-01-05,0.0,0.1848049281314168,0.0490463215258855,0.4659174526724197,0.2173913043478259,2009,1,5,5,2,1,1,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.08596479873744647,0.9962981749346078,0.238672573649364,0.971100099159499,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2009-01-06,0.0,0.1854893908282,0.0817438692098092,0.494180212723259,0.2173913043478259,2009,1,6,6,2,1,1,0.49999999999999994,0.8660254037844387,0.9510565162951535,0.30901699437494745,0.10310169744743485,0.9946708199115211,0.238672573649364,0.971100099159499,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2009-01-07,0.0,0.1882272416153321,0.1416893732970027,0.4148772493143355,0.2173913043478259,2009,1,7,7,2,1,1,0.49999999999999994,0.8660254037844387,0.9945218953682733,0.10452846326765346,0.1202080448993527,0.9927487224577402,0.238672573649364,0.971100099159499,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2009-01-08,0.0,0.1895961670088981,0.217983651226158,0.451301090373938,0.2608695652173911,2009,1,8,8,2,1,1,0.49999999999999994,0.8660254037844387,0.9945218953682734,-0.10452846326765333,0.13727877211326478,0.9905324521322229,0.238672573649364,0.971100099159499,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2009-01-09,0.013372956909361,0.1902806297056813,0.2343324250681198,0.4371529868218611,0.2173913043478259,2009,1,9,9,2,1,1,0.49999999999999994,0.8660254037844387,0.9510565162951536,-0.30901699437494734,0.15430882066428117,0.9880226656636976,0.238672573649364,0.971100099159499,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2009-01-10,0.0,0.194387405886379,0.1525885558583106,0.4085223091845609,0.2173913043478259,2009,1,10,10,2,1,1,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,0.1712931441814776,0.9852201067560606,0.238672573649364,0.971100099159499,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2009-01-11,0.0,0.1971252566735115,0.1934604904632152,0.4662853702588803,0.2173913043478259,2009,1,11,11,2,1,1,0.49999999999999994,0.8660254037844387,0.7431448254773945,-0.6691306063588579,0.1882267098432442,0.9821256058680006,0.238672573649364,0.971100099159499,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2009-01-12,0.0,0.2032854209445589,0.1907356948228882,0.50886346912837,0.2173913043478259,2009,1,12,12,3,1,1,0.49999999999999994,0.8660254037844387,0.5877852522924732,-0.8090169943749473,0.2051044998686192,0.9787400799669153,0.3536758442582659,0.9353680543979481,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2009-01-13,0.0163447251114413,0.2108145106091719,0.2643051771117166,0.501605458559101,0.2173913043478259,2009,1,13,13,3,1,1,0.49999999999999994,0.8660254037844387,0.40673664307580004,-0.913545457642601,0.2219215130041655,0.9750645322571948,0.3536758442582659,0.9353680543979481,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2009-01-14,0.0,0.216290212183436,0.32425068119891,0.514482574085223,0.2173913043478259,2009,1,14,14,3,1,1,0.49999999999999994,0.8660254037844387,0.20791169081775931,-0.9781476007338057,0.2386727660059501,0.9711000518829505,0.3536758442582659,0.9353680543979481,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
